t (sec),x (cm),y (cm)
0,0.69,0.845
0.01,0.689,0.838
0.02,0.679,0.834
0.03,0.672,0.834
0.04,0.661,0.859
0.05,0.642,0.931
0.06,0.625,1.055
0.07,0.621,1.215
0.08,0.636,1.392
0.09,0.687,1.574
0.1,0.78,1.749
0.11,0.921,1.882
0.12,1.1,1.943
0.13,1.293,1.95
0.14,1.481,1.921
0.15,1.636,1.871
0.16,1.7,1.84
0.17,1.834,1.716
0.18,1.854,1.625
0.19,1.83,1.535
0.2,1.759,1.455
0.21,1.655,1.397
0.22,1.494,1.367
0.23,1.281,1.367
0.24,1.048,1.382
0.25,0.818,1.416
0.26,0.609,1.455
0.27,0.437,1.486
0.28,0.292,1.509
0.29,0.164,1.538
0.3,0.0680000000000001,1.578
0.31,0.0139999999999998,1.616
0.32,0,1.624
0.33,0.00300000000000011,1.624
0.34,0.0299999999999998,1.621
0.35,0.077,1.608
0.36,0.149,1.585
0.37,0.258,1.55
0.38,0.387,1.504
0.39,0.525,1.451
0.4,0.669,1.395
0.41,0.81,1.346
0.42,0.933,1.304
0.43,1.034,1.264
0.44,1.11,1.228
0.45,1.157,1.194
0.46,1.174,1.165
0.47,1.173,1.141
0.48,1.159,1.122
0.49,1.143,1.112
0.5,1.127,1.111
0.51,1.123,1.111
0.52,1.123,1.125
0.53,1.128,1.167
0.54,1.138,1.225
0.55,1.149,1.283
0.56,1.169,1.332
0.57,1.198,1.374
0.58,1.233,1.414
0.59,1.273,1.451
0.6,1.313,1.481
0.61,1.333,1.49
0.62,1.399,1.485
0.63,1.448,1.442
0.64,1.496,1.383
0.65,1.54,1.317
0.66,1.577,1.245
0.67,1.603,1.174
0.68,1.617,1.121
0.69,1.619,1.093
0.7,1.613,1.073
0.71,1.607,1.062
0.72,1.605,1.062
0.73,1.604,1.081
0.74,1.604,1.118
0.75,1.61,1.163
0.76,1.627,1.211
0.77,1.643,1.251
0.78,1.659,1.272
0.79,1.675,1.278
0.8,1.684,1.278
0.81,1.685,1.278
0.82,1.677,1.275
0.83,1.644,1.257
0.84,1.593,1.241
0.85,1.534,1.237
0.86,1.484,1.241
0.87,1.454,1.256
0.88,1.443,1.279
0.89,1.442,1.311
0.9,1.447,1.348
0.91,1.477,1.387
0.92,1.532,1.415
0.93,1.603,1.422
0.94,1.675,1.411
0.95,1.739,1.382
0.96,1.79,1.349
0.97,1.829,1.309
0.98,1.855,1.261
0.99,1.863,1.205
1,1.863,1.143
1.01,1.863,1.092
1.02,1.863,1.047
1.03,1.863,1.016
1.04,1.863,1.001
1.05,1.862,1
1.06,1.862,1.007
1.07,1.871,1.036
1.08,1.887,1.077
1.09,1.902,1.129
1.1,1.915,1.182
1.11,1.926,1.214
1.12,1.941,1.224
1.13,1.951,1.225
1.14,1.957,1.206
